PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
sWMvq,2rr2k1/1bp1b1pp/1p2p3/p2qBp2/3PN3/2P5/PP1Q1PPP/R3R1K1 w - - 0 17,e4g3 d5g2,477,99,63,112,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/fdvDnLqM#33,French_Defense French_Defense_Tarrasch_Variation,
9URIU,7R/8/4Kpk1/4p1p1/3b1r2/p7/8/1R6 b - - 11 57,a3a2 b1b8 e5e4 b8g8,2215,77,93,1972,endgame mate mateIn2 quietMove short,https://lichess.org/Ypp3GEzi/black#114,,
28Aum,6R1/4k2p/2n5/3pNp2/5P2/1P2K3/P1r3PP/8 w - - 5 43,g8c8 d5d4 e3d3 c6b4 d3d4 c2c8,1904,75,96,10291,advantage discoveredAttack endgame long,https://lichess.org/aLDGfHiC#85,,
NRtuj,8/8/2p5/1kP2b2/3KPP2/8/8/8 b - - 0 41,f5e4 d4e4 b5c5 e4e5 c5b6 f4f5 b6c7 e5e6,1958,83,93,4923,crushing defensiveMove endgame master masterVsMaster quietMove veryLong,https://lichess.org/hiW0aLD3/black#82,,
Kt2vH,5rk1/pp2ppb1/1q1p2pp/5P2/8/5P1Q/PPr4P/R1B1R2K b - - 2 23,b6f2 c1e3 f2h2 h3h2 c2h2 h1h2,1765,75,95,7209,crushing long middlegame,https://lichess.org/PKLqzpIW/black#46,,
J22fR,7r/ppp5/6k1/3N4/4P3/3P2b1/PPP4P/5R1K w - - 0 33,f1g1 h8h2,588,84,100,81,endgame mate mateIn1 oneMove,https://lichess.org/yyTMEmCn#65,,
BtZLp,2rq3k/5ppp/8/3bB3/p7/P3R3/1Q3Pr1/4RK2 b - - 1 48,d8g5 e5g7 g5g7 e3e8 c8e8 e1e8,1102,78,85,174,long master mate mateIn3 middlegame sacrifice,https://lichess.org/REtyLkrm/black#96,,
8jqBD,r4rk1/ppp2pp1/6b1/3Np2B/3nP3/3P4/PPPK1P2/R6R b - - 2 17,g6h5 d5e7 g8h7 h1h5,1427,80,90,930,anastasiaMate intermezzo kingsideAttack mate mateIn2 middlegame short,https://lichess.org/YkeeJTGy/black#34,Four_Knights_Game Four_Knights_Game_Other_variations,
vgyBZ,q3k2r/1pp2pQp/2n1b3/8/5B2/4P3/P2K1PPP/2r2BNR b k - 3 17,c1f1 g7h8 e8d7 h8a8,818,80,89,436,crushing hangingPiece middlegame short skewer,https://lichess.org/WQVwNBNo/black#34,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation,
kVLZT,5rk1/pQ3ppp/1b6/3B4/8/q5P1/3r3P/2R2R1K b - - 1 35,a3b2 b7f7 f8f7 c1c8 b6d8 c8d8,1715,76,98,3151,attraction long mate mateIn3 middlegame pin sacrifice,https://lichess.org/DI2I77Cu/black#70,,
